fold,lr_rmse,dt_rmse
0,275504.41280093306,99689.64784888555
1,213642.25443473406,44959.14182573617
2,279116.68370026455,68510.11980703146
3,901629.0875254313,158435.67094327667
4,374997.6858570821,135217.5240001178
5,278162.6350803256,149714.05298821517
6,1115793.910499437,76793.8477855997
7,237867.57149557606,63451.12869808419
8,334579.28443165525,115697.7609162537
9,901207.7796669098,61789.09340095616
